market_id,adm_cd,adm_nm,overlap_ratio,relation_type,source_id,geometry_version,confidence
SEOUL-DONGDAEMUN-JEGI-YONGDU-SINSEOL,11230545,제기동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-SANGBONG,11260590,상봉2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-SANGBONG,11260580,상봉1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-SANGBONG,11260520,면목2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-JUNGNANG-MANGU,11260580,상봉1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-MANGU,11260660,망우3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-JUNGNANG-MANGU,11260655,망우본동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-JUNGNANG-MYEONMOK-SAGAJEONG,11260575,면목3·8동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-MYEONMOK-SAGAJEONG,11260570,면목7동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-MYEONMOK-SAGAJEONG,11260550,면목5동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-JUNGNANG-MYEONMOK-SAGAJEONG,11260520,면목2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-JUNGNANG-MYEONMOK-SAGAJEONG,11260565,면목본동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-JUNGNANG-SINNAE,11260680,신내1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-JUNGHWA,11260610,중화2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-JUNGNANG-JUNGHWA,11260600,중화1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-SUNGSHIN,11290575,동선동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-SUNGSHIN,11290555,삼선동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-ANAM-KOREAUNIV,11290600,안암동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-GIREUM,11290660,길음1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-GIREUM,11290685,길음2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-HANSUNG-SEONGBUK,11290525,성북동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-HANSUNG-SEONGBUK,11290555,삼선동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-SEOKGYE-JANGWI,11290770,장위2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-SEOKGYE-JANGWI,11290810,석관동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-SEOKGYE-JANGWI,11290760,장위1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGBUK-JEONGNEUNG,11290650,정릉4동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-JEONGNEUNG,11290640,정릉3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGBUK-JEONGNEUNG,11290525,성북동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGBUK-JEONGNEUNG,11290555,삼선동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GANGBUK-SUYU,11305595,번1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GANGBUK-SUYU,11305635,수유3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GANGBUK-SUYU,11305660,인수동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GANGBUK-SUYU,11305615,수유1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GANGBUK-SUYU,11305625,수유2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GANGBUK-MIASAGEORI,11305545,송중동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GANGBUK-MIA-BEON,11305535,미아동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GANGBUK-MIA-BEON,11305545,송중동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GANGBUK-MIA-BEON,11305608,번3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GANGBUK-MIA-BEON,11305575,삼각산동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GANGBUK-UI-BUKHANSAN,11305645,우이동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GANGBUK-UI-BUKHANSAN,11305625,수유2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DOBONG-CHANGDONG,11320515,창5동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DOBONG-CHANGDONG,11320514,창4동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DOBONG-CHANGDONG,11320512,창2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DOBONG-CHANGDONG,11320513,창3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DOBONG-SSANGMUN,11320511,창1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DOBONG-SSANGMUN,11320680,쌍문3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DOBONG-SSANGMUN,11320660,쌍문1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DOBONG-SSANGMUN,11320670,쌍문2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
